15 30
[9][15]: X
[9][16]: .
[9][17]: X
[9][18]: .
[9][19]: .
[9][20]: .
[9][21]: .
[9][22]: .
[9][23]: .
[9][24]: .
[9][25]: .
[9][26]: .
[9][27]: .
[9][28]: .
[9][29]: X
[10][0]: X
[10][1]: .
[10][2]: X
[10][3]: X
[10][4]: X
[10][5]: X
[10][6]: X
[10][7]: X
[10][8]: X
[10][9]: X
[10][10]: .
[10][11]: X
[10][12]: .
[10][13]: X
[10][14]: .
[10][15]: X
[10][16]: .
[10][17]: X
[10][18]: .
[10][19]: X
[10][20]: X
[10][21]: X
[10][22]: X
[10][23]: X
[10][24]: X
[10][25]: X
[10][26]: X
[10][27]: .
[10][28]: .
[10][29]: X
[11][0]: X
[11][1]: .
[11][2]: .
[11][3]: .
[11][4]: .
[11][5]: .
[11][6]: .
[11][7]: .
[11][8]: .
[11][9]: .
[11][10]: .
[11][11]: X
[11][12]: .
[11][13]: X
[11][14]: .
[11][15]: X
[11][16]: .
[11][17]: X
[11][18]: .
[11][19]: .
[11][20]: .
[11][21]: .
[11][22]: .
[11][23]: .
[11][24]: .
[11][25]: .
[11][26]: .
[11][27]: .
[11][28]: .
[11][29]: X
[12][0]: X
[12][1]: .
[12][2]: X
[12][3]: X
[12][4]: X
[12][5]: X
[12][6]: .
[12][7]: X
[12][8]: X
[12][9]: X
[12][10]: .
[12][11]: X
[12][12]: .
[12][13]: X
[12][14]: .
[12][15]: X
[12][16]: . Ghost ghost_yellow.png
[12][17]: X
[12][18]: .
[12][19]: X
[12][20]: X
[12][21]: X
[12][22]: X
[12][23]: X
[12][24]: X
[12][25]: X
[12][26]: .
[12][27]: X
[12][28]: .
[12][29]: X
[13][0]: X
[13][1]: .
[13][2]: X
[13][3]: .
[13][4]: .
[13][5]: X
[13][6]: .
[13][7]: .
[13][8]: .
[13][9]: .
[13][10]: .
[13][11]: X
[13][12]: .
[13][13]: .
[13][14]: .
[13][15]: X
[13][16]: .
[13][17]: X
[13][18]: .
[13][19]: . Ghost ghost_yellow.png
[13][20]: .
[13][21]: .
[13][22]: .
[13][23]: .
[13][24]: .
[13][25]: .
[13][26]: .
[13][27]: .
[13][28]: .
[13][29]: X
[14][0]: X
[14][1]: X
[14][2]: X
[14][3]: X
[14][4]: X
[14][5]: X
[14][6]: X
[14][7]: X
[14][8]: X
[14][9]: X
[14][10]: X
[14][11]: X
[14][12]: X
[14][13]: X
[14][14]: X
[14][15]: X
[14][16]: X
[14][17]: X
[14][18]: X
[14][19]: X
[14][20]: X
[14][21]: X
[14][22]: X
[14][23]: X
[14][24]: X
[14][25]: X
[14][26]: X
[14][27]: X
[14][28]: X
[14][29]: X
END OF LOG
