17 39
[13][35]: .
[13][36]: .
[13][37]: .
[13][38]: X
[14][0]: X
[14][1]: .
[14][2]: X
[14][3]: X
[14][4]: X
[14][5]: X
[14][6]: X
[14][7]: X
[14][8]: X
[14][9]: X
[14][10]: X
[14][11]: X
[14][12]: X
[14][13]: X
[14][14]: X
[14][15]: X
[14][16]: X
[14][17]: X
[14][18]: X
[14][19]: X
[14][20]: X
[14][21]: X
[14][22]: X
[14][23]: X
[14][24]: X
[14][25]: X
[14][26]: X
[14][27]: X
[14][28]: X
[14][29]: X
[14][30]: X
[14][31]: X
[14][32]: X
[14][33]: X
[14][34]: X
[14][35]: X
[14][36]: X
[14][37]: .
[14][38]: X
[15][0]: X
[15][1]: . Ghost ghost_blue.png
[15][2]: .
[15][3]: .
[15][4]: .
[15][5]: .
[15][6]: .
[15][7]: .
[15][8]: .
[15][9]: .
[15][10]: .
[15][11]: .
[15][12]: .
[15][13]: .
[15][14]: .
[15][15]: .
[15][16]: .
[15][17]: .
[15][18]: .
[15][19]: .
[15][20]: .
[15][21]: .
[15][22]: .
[15][23]: . Ghost ghost_red.png
[15][24]: .
[15][25]: .
[15][26]: .
[15][27]: .
[15][28]: .
[15][29]: .
[15][30]: .
[15][31]: .
[15][32]: .
[15][33]: .
[15][34]: .
[15][35]: .
[15][36]: .
[15][37]: .
[15][38]: X
[16][0]: X
[16][1]: X
[16][2]: X
[16][3]: X
[16][4]: X
[16][5]: X
[16][6]: X
[16][7]: X
[16][8]: X
[16][9]: X
[16][10]: X
[16][11]: X
[16][12]: X
[16][13]: X
[16][14]: X
[16][15]: X
[16][16]: X
[16][17]: X
[16][18]: X
[16][19]: X
[16][20]: X
[16][21]: X
[16][22]: X
[16][23]: X
[16][24]: X
[16][25]: X
[16][26]: X
[16][27]: X
[16][28]: X
[16][29]: X
[16][30]: X
[16][31]: X
[16][32]: X
[16][33]: X
[16][34]: X
[16][35]: X
[16][36]: X
[16][37]: X
[16][38]: X
END OF LOG
